site,rep,distance,station,transect,dist_stat,plant_no,pot_no,counts_p1,counts_p2,counts_p3,counts_p4,counts_p5
pbc,2,50 m,2,2,50m_2,3,38,0,0,3,NA,NA
pbc,2,50 m,3,3,50m_3,3,39,4,0,1,NA,NA
pbc,2,50 m,4,4,50m_4,3,40,0,0,0,NA,NA
pbc,2,50 m,5,5,50m_5,3,41,0,0,0,NA,NA
pbc,2,50 m,6,6,50m_6,3,42,0,0,0,NA,NA
pbc,2,50 m,7,7,50m_7,3,43,0,0,0,NA,NA
pbc,2,50 m,8,8,50m_8,3,44,0,0,0,NA,NA
pbc,2,50 m,9,9,50m_9,3,45,1,0,2,NA,NA
pbc,2,50 m,10,10,50m_10,3,46,1,1,1,NA,NA
pbc,2,75 m,1,1,75m_1,3,47,0,0,0,NA,NA
pbc,2,75 m,2,2,75m_2,3,48,1,0,0,NA,NA
pbc,2,75 m,3,3,75m_3,3,49,1,1,2,NA,NA
pbc,2,75 m,4,4,75m_4,3,50,0,0,0,NA,NA
pbc,2,75 m,5,5,75m_5,3,51,0,0,0,NA,NA
pbc,2,75 m,6,6,75m_6,3,52,2,1,0,NA,NA
pbc,2,75 m,7,7,75m_7,3,53,2,0,0,NA,NA
pbc,2,75 m,8,8,75m_8,3,54,1,0,0,NA,NA
pbc,2,75 m,9,9,75m_9,3,55,0,0,0,NA,NA
pbc,2,75 m,10,10,75m_10,3,56,0,0,0,NA,NA
pbc,3,0 m,1,1,0m_1,5,1,5,8,4,3,7
pbc,3,0 m,1,1,0m_1,5,2,8,7,4,5,3
pbc,3,0 m,2,4,0m_2,5,3,4,1,8,7,3
pbc,3,0 m,2,4,0m_2,5,4,4,3,11,9,5
pbc,3,0 m,3,7,0m_3,5,5,11,4,9,4,14
pbc,3,0 m,3,7,0m_3,5,6,3,4,7,5,7
pbc,3,0 m,4,10,0m_4,5,7,12,4,3,11,5
pbc,3,0 m,4,10,0m_4,5,8,4,5,1,1,0
pbc,3,10 m,1,1,10m_1,5,9,5,7,5,7,1
pbc,3,10 m,1,1,10m_1,5,10,3,2,3,3,0
pbc,3,10 m,2,4,10m_2,5,11,2,4,5,3,3
pbc,3,10 m,2,4,10m_2,5,12,3,1,1,2,0
pbc,3,10 m,3,7,10m_3,5,13,4,3,3,4,1
pbc,3,10 m,3,7,10m_3,5,14,0,2,2,1,1
pbc,3,10 m,4,10,10m_4,5,15,2,1,1,1,0
pbc,3,10 m,4,10,10m_4,5,16,3,0,1,4,6
pbc,3,25 m,1,1,25m_1,5,17,4,3,0,1,2
pbc,3,25 m,1,1,25m_1,5,18,0,0,0,0,1
pbc,3,25 m,2,2,25m_2,5,19,2,4,1,0,2
pbc,3,25 m,2,2,25m_2,5,20,3,0,0,1,0
pbc,3,25 m,3,3,25m_3,5,21,2,0,0,0,1
pbc,3,25 m,3,3,25m_3,5,22,1,2,0,1,1
pbc,3,25 m,4,4,25m_4,5,23,1,0,1,0,0
pbc,3,25 m,4,4,25m_4,5,24,2,2,0,1,2
pbc,3,25 m,5,5,25m_5,5,25,0,4,0,0,0
pbc,3,25 m,5,5,25m_5,5,26,1,0,0,1,0
pbc,3,25 m,6,6,25m_6,5,27,0,1,3,2,0
pbc,3,25 m,6,6,25m_6,5,28,3,1,3,2,3
pbc,3,25 m,7,7,25m_7,5,29,2,0,3,3,0
pbc,3,25 m,7,7,25m_7,5,30,4,2,0,4,0
pbc,3,25 m,8,8,25m_8,5,31,0,3,0,2,0
pbc,3,25 m,8,8,25m_8,5,32,0,0,0,0,2
pbc,3,25 m,9,9,25m_9,5,33,0,1,0,0,0
pbc,3,25 m,9,9,25m_9,5,34,0,0,2,0,0
pbc,3,25 m,10,10,25m_10,5,35,0,0,0,0,0
pbc,3,25 m,10,10,25m_10,5,36,0,1,1,0,0
pbc,3,50 m,1,1,50m_1,3,37,0,3,1,NA,NA
pbc,3,50 m,2,2,50m_2,3,38,2,0,0,NA,NA
pbc,3,50 m,3,3,50m_3,3,39,0,0,0,NA,NA
pbc,3,50 m,4,4,50m_4,3,40,0,2,1,NA,NA
pbc,3,50 m,5,5,50m_5,3,41,0,2,2,NA,NA
pbc,3,50 m,6,6,50m_6,3,42,1,0,0,NA,NA
pbc,3,50 m,7,7,50m_7,3,43,1,2,0,NA,NA
pbc,3,50 m,8,8,50m_8,3,44,1,0,1,NA,NA
pbc,3,50 m,9,9,50m_9,3,45,1,2,0,NA,NA
pbc,3,50 m,10,10,50m_10,3,46,1,0,0,NA,NA
pbc,3,75 m,1,1,75m_1,3,47,0,0,0,NA,NA
pbc,3,75 m,2,2,75m_2,3,48,0,1,0,NA,NA
pbc,3,75 m,3,3,75m_3,3,49,0,0,0,NA,NA
pbc,3,75 m,4,4,75m_4,3,50,1,0,0,NA,NA
pbc,3,75 m,5,5,75m_5,3,51,0,0,2,NA,NA
pbc,3,75 m,6,6,75m_6,3,52,1,0,0,NA,NA
pbc,3,75 m,7,7,75m_7,3,53,0,0,0,NA,NA
pbc,3,75 m,8,8,75m_8,3,54,0,0,1,NA,NA
pbc,3,75 m,9,9,75m_9,3,55,0,0,0,NA,NA
pbc,3,75 m,10,10,75m_10,3,56,0,0,0,NA,NA
Horsham SPA,1,0 m,1,1,0m_1,5,1,1,2,2,0,1
